name,lat,lng
3400208,25.42063345,-100.143105
3400408,25.51407181,-100.185631
3399389,25.5428462,-100.2373277
3400713,25.5490608,-100.2337281
3400548,25.5578321,-100.2274561
3400003,25.56162721,-100.2199259
3400711,25.56187696,-100.2290973
3396708,25.56266434,-100.2294817
3398571,25.563692,-100.2766799
3399858,25.5637252,-100.2751815
3400269,25.5642185,-100.2330574
3400046,25.56488521,-100.2202426
3397064,25.56888478,-100.2776702
3400251,25.57231459,-100.2339991
3399351,25.57489962,-100.2757922
3393874,25.5760644,-100.2663157
3356832,25.5771784,-100.2753886
3399980,25.57739263,-100.2614685
3400772,25.57921105,-100.2695875
3399774,25.58008695,-100.239685
3395991,25.58009171,-100.251441
3399998,25.5854864,-100.2493567
3399664,25.5867605,-100.267659
3393917,25.58896154,-100.2574268
3400554,25.59128503,-100.2794014
3399777,25.5932589,-100.2826027
3399752,25.5932589,-100.2826027
3399758,25.5999286,-100.2630431
3400701,25.59995264,-100.2631191
3399802,25.6010016,-100.2734138
3393114,25.6036931,-100.2765479
3399609,25.60395526,-100.2521462
3400311,25.6047825,-100.2784925
3395955,25.60617481,-100.2743549
3400034,25.60781898,-100.2770141
3399776,25.61042271,-100.2603044
3397503,25.61464295,-100.2765529
3391422,25.6157919,-100.2967065
3400249,25.61663365,-100.3184553
3400291,25.6168332,-100.3126596
3400578,25.6195471,-100.3027181
3399818,25.62149193,-100.2893461
3400848,25.62545982,-100.2650447
3371422,25.6262947,-100.2715145
3399384,25.6263199,-100.2997501
3400747,25.6263745,-100.2851382
3393587,25.626409,-100.2842109
3399828,25.6266694,-100.3564522
3399958,25.62703461,-100.3059499
3399426,25.6271043,-100.2648015
3400026,25.6271043,-100.2648015
3381822,25.6271043,-100.2648015
3400883,25.62791154,-100.2628
3399692,25.6281428,-100.3664752
3399946,25.62995901,-100.3033774
3399611,25.6300889,-100.2733956
3400557,25.63713418,-100.3166905
3399275,25.6381904,-100.3334831
3392576,25.6390197,-100.2882882
3400806,25.63940813,-100.1718003
3400201,25.63985405,-100.3926328
3399519,25.6402194,-100.1805221
3394548,25.641241,-100.2820506
3399831,25.64135409,-100.1955971
3400555,25.64239326,-100.326528
3399493,25.6428047,-100.3214614
3393772,25.64324672,-100.2669072
3400621,25.6435386,-100.1926568
3400909,25.6440898,-100.1871
3393258,25.6443032,-100.2008215
3400133,25.6457273,-100.3721592
3376651,25.64579435,-100.3722229
3399811,25.64581987,-100.2706682
3400568,25.64599865,-100.2714078
3399666,25.6464629,-100.1999084
3400509,25.6465058,-100.2755487
3399637,25.6469197,-100.3625685
3400553,25.6470971,-100.334157
3399661,25.6479308,-100.3751757
3398594,25.6480691,-100.2612283
3399804,25.648213,-100.3606854
3400338,25.6490003,-100.2643502
3391964,25.6491003,-100.295315
3379677,25.6491447,-100.3709222
3399380,25.6493724,-100.3754708
3398296,25.64964807,-100.2937908
3400651,25.6497279,-100.3263283
3384158,25.6503385,-100.3795387
3400097,25.6504784,-100.3411158
3399529,25.6508705,-100.2793134
3399153,25.65213337,-100.3810596
3399955,25.6522178,-100.3523345
3398870,25.6526375,-100.3884061
3400820,25.652752,-100.4254491
3399383,25.65290142,-100.4253925
3400811,25.6532519,-100.2755208
3399530,25.65350819,-100.2765454
3400016,25.65351,-100.403698
3400369,25.6535329,-100.403675
3399569,25.6536593,-100.3762292
3398708,25.6537836,-100.4238587
3399523,25.65380522,-100.2635359
3367587,25.6539174,-100.3772178
3400796,25.6545056,-100.3599523
3393039,25.6550869,-100.2800117
3400323,25.6551795,-100.2665192
3399740,25.65530011,-100.2267512
3395975,25.65624641,-100.4033886
3400238,25.65625649,-100.2654089
3400322,25.65763964,-100.3681041
3399510,25.6577802,-100.3891751
3400844,25.65819941,-100.3596355
3399983,25.65821059,-100.2515342
3399974,25.65821059,-100.2515342
3399962,25.65870668,-100.4125577
3401312,25.6587751,-100.4128283
3379276,25.6587916,-100.3411673
3391775,25.65962034,-100.4082723
3400590,25.6597975,-100.3915084
3399371,25.6597975,-100.3915084
3396178,25.66000271,-100.241342
3346725,25.6600917,-100.2596342
3400011,25.66016363,-100.3730409
3400189,25.66044979,-100.2524154
3400643,25.66093297,-100.3081514
3400502,25.66204187,-100.3297277
3399560,25.66211652,-100.2728076
3400592,25.66246993,-100.2278079
3399898,25.6625709,-100.4138783
3399987,25.6629261,-100.3741025
3399624,25.6639981,-100.3718045
3400872,25.66460546,-100.2684034
3399954,25.6649563,-100.3729877
3374330,25.6666616,-100.374012
3400774,25.667024,-100.3042322
3400070,25.66711581,-100.2858322
3399174,25.6674039,-100.4036855
3399940,25.6674906,-100.4034525
3399837,25.6674906,-100.4034525
3400831,25.66803994,-100.1958935
3396392,25.66855931,-100.3863521
3398472,25.66879568,-100.3302866
3393368,25.6690961,-100.2675402
3400347,25.6707472,-100.3229303
3400080,25.67089527,-100.3426868
3399793,25.67160951,-100.1912258
3399594,25.6719963,-100.3150155
3400890,25.67247494,-100.2571865
3330496,25.6735199,-100.3335618
3400840,25.6758495,-100.4945631
3399422,25.6761801,-100.391838
3400146,25.6761801,-100.391838
3400703,25.678839,-100.4609908
3399160,25.6799643,-100.22257
3399399,25.68077807,-100.459374
3400894,25.68086502,-100.4594022
3398789,25.6812524,-100.457988
3399375,25.68225637,-100.4352165
3399906,25.6824086,-100.3466098
3332587,25.68319373,-100.3518688
3361172,25.6846668,-100.3562807
3400437,25.68526818,-100.3640034
3400123,25.6854403,-100.3565382
3399037,25.6866142,-100.3161126
3389138,25.6866142,-100.3161126
3398068,25.6866142,-100.3161126
3393864,25.6866745,-100.3765685
3400308,25.6884524,-100.3589693
3400200,25.6888284,-100.2347597
3400053,25.6904653,-100.3680474
3400294,25.69058573,-100.1240472
3399991,25.6912799,-100.2499576
3399459,25.6918431,-100.374507
3369786,25.6920445,-100.3698593
3399617,25.69229549,-100.3443045
3400319,25.69258916,-100.3802273
3400716,25.6930883,-100.308348
3400076,25.6932583,-100.3802939
3400313,25.693313,-100.345783
3394264,25.6934979,-100.3751479
3393891,25.6934979,-100.3751479
3348554,25.69369447,-100.3122145
3400178,25.69511462,-100.5031714
3400302,25.6954771,-100.3087825
3399816,25.6959589,-100.2468855
3397172,25.69639792,-100.3835922
3398682,25.69716,-100.210812
3400287,25.6971604,-100.2108115
3399934,25.69723458,-100.3830068
3400748,25.69750287,-100.2344788
3385916,25.698713,-100.2389209
3398982,25.70004545,-100.3019239
3400917,25.7025928,-100.3649297
3396394,25.7026595,-100.3721502
3351874,25.7027845,-100.3755847
3400491,25.7036054,-100.2297418
3399971,25.70541986,-100.2608939
3399603,25.7056514,-100.229306
3399539,25.70733211,-100.2505811
3400910,25.70799049,-100.3415206
3393070,25.7100909,-100.3455921
3399732,25.71029015,-100.3535873
3400697,25.7122712,-100.34008
3400921,25.71274239,-100.1489302
3386751,25.7134161,-100.3487256
3399973,25.7136263,-100.2420296
3399829,25.7143831,-100.2334574
3379479,25.7149079,-100.2273986
3398565,25.71616372,-100.2449525
3398684,25.71625444,-100.3770647
3346446,25.7163304,-100.3886783
3400110,25.7175711,-100.2124026
3381173,25.71784321,-100.2166153
3399216,25.71848721,-100.3791102
3399409,25.7213215,-100.2049876
3400336,25.72387198,-100.1999594
3400746,25.72444205,-100.3818421
3399314,25.72503548,-100.3499421
3398964,25.72670701,-100.2148168
3400376,25.7277206,-100.3990008
3400337,25.7283524,-100.3644147
3389743,25.7292057,-100.3333164
3364503,25.7298879,-100.3726671
3399534,25.7325623,-100.2225385
3399516,25.73324163,-100.2798584
3400630,25.73415749,-100.3913099
3400107,25.73505208,-100.285143
3400432,25.73534,-100.2849411
3395454,25.7364691,-100.3886405
3399436,25.7367918,-100.227111
3400113,25.7369141,-100.4012395
3400929,25.73766033,-100.2057713
3394077,25.73813325,-100.3629014
3400309,25.73930435,-100.3803341
3397299,25.7402515,-100.412734
3400160,25.7414861,-100.1830864
3399655,25.74198325,-100.3196463
3399401,25.74230072,-100.2735464
3398303,25.7424334,-100.267635
3400754,25.7433389,-100.4284367
3392486,25.7434713,-100.4135551
3396419,25.74396296,-100.4116106
3381290,25.7440296,-100.4219008
3391233,25.7442688,-100.4132529
3400799,25.744599,-100.3142444
3390704,25.74503012,-100.2621793
3396668,25.745618,-100.418926
3320020,25.7461265,-100.2469418
3399403,25.74658025,-100.2059283
3399581,25.74711225,-100.2723126
3400281,25.7473046,-100.4242221
3400714,25.74747114,-100.4176278
3399464,25.7488427,-100.2747597
3400834,25.7490963,-100.2544202
3400480,25.7493347,-100.418019
3335631,25.7493469,-100.2868973
3400161,25.749582,-100.4171868
3399923,25.7523918,-100.3047391
3399574,25.7530417,-100.3675289
3395487,25.75328608,-100.4287881
3399500,25.75373931,-100.4171658
3400192,25.75422055,-100.416756
3400607,25.75458476,-100.1467848
3400188,25.75522939,-100.2955941
3399164,25.7556947,-100.2563865
3399473,25.75583441,-100.4153194
3398718,25.75598598,-100.4139179
3366157,25.75603538,-100.4152712
3399362,25.75714536,-100.2685888
3399458,25.7572464,-100.4038613
3400268,25.7577822,-100.4170288
3400257,25.758562,-100.2792801
3399916,25.7587879,-100.4140584
3399870,25.76001207,-100.2615916
3399863,25.7609307,-100.4249404
3400212,25.76286369,-100.2448865
3339870,25.763638,-100.286698
3399643,25.76524215,-100.21633
3398244,25.76566009,-100.4737172
3399820,25.76686991,-100.2806765
3399832,25.76686991,-100.2806765
3399453,25.76739698,-100.2895617
3400823,25.7706747,-100.2878938
3368579,25.77082443,-100.3093427
3400414,25.7708856,-100.3154517
3400345,25.7727778,-100.1925
3399697,25.7728433,-100.1424995
3400273,25.7730794,-100.2539626
3399778,25.77454893,-100.417599
3400033,25.77793972,-100.4533195
3400043,25.77961018,-100.2024955
3399192,25.77965125,-100.2905014
3400622,25.7804419,-100.2666725
3400328,25.78052592,-100.2693033
3400532,25.7810387,-100.2384618
3378089,25.7849336,-100.433004
3400543,25.78544228,-100.3198351
3399482,25.7858753,-100.3128291
3394985,25.78660453,-100.2688683
3400602,25.7875831,-100.3100329
3400689,25.7882467,-100.1351273
3399879,25.78848381,-100.2798403
3400419,25.7914569,-100.3073633
3399346,25.7935729,-100.3805908
3399309,25.79470066,-100.3182549
3400117,25.79573878,-100.3436143
3399308,25.798391,-100.1551005
3400878,25.8001655,-100.2557205
3399709,25.8002233,-100.3122083
3400679,25.80046904,-100.2280815
3399273,25.80442459,-100.2139747
3379402,25.80471142,-100.3103813
3393927,25.8099344,-100.2280344
3399256,25.81766976,-100.3075683
3396369,25.82541206,-100.270919